estado,asesinatos,asaltos,violaciones,score
Alabama,45,35,29,36
Alaska,35,43,49,47
Arizona,29,47,43,41
Arkansas,31,31,24,30
California,33,44,48,44
Colorado,28,33,47,33
Connecticut,10,15,7,10
Delaware,19,36,15,23
Florida,48,49,44,50
Georgia,50,34,36,42
Hawaii,17,2,26,14
Idaho,7,20,11,11
Illinois,36,38,34,33
Indiana,25,16,28,22
Iowa,5,5,9,6
Kansas,21,17,22,18
Kentucky,34,14,18,21
Louisiana,48,38,31,40
Maine,3,9,2,3
Maryland,38,48,40,45
Massachusetts,15,22,18,17
Michigan,40,41,46,47
Minnesota,8,7,13,7
Mississippi,49,42,21,37
Missouri,33,29,41,31
Montana,21,14,19,16
Nebraska,14,11,20,14
Nevada,41,39,50,49
New Hampshire,3,6,5,3
New Jersey,27,26,23,27
New Mexico,39,46,45,49
New York,37,40,37,39
North Carolina,43,50,16,36
North Dakota,1,1,1,1
Ohio,26,20,30,27
Oklahoma,23,23,25,24
Oregon,16,26,42,29
Pennsylvania,22,12,13,15
Rhode Island,11,28,3,12
South Carolina,46,45,32,43
South Dakota,12,10,10,10
Tennessee,45,30,39,39
Texas,42,32,35,36
Utah,9,20,33,19
Vermont,5,3,8,4
Virginia,30,24,27,28
Washington,13,21,38,25
West Virginia,18,8,4,8
Wisconsin,7,4,6,5
Wyoming,24,27,14,20